 ,IMPORT REPORT,,,23-Jan,,,,,,,,
,,,,,,,,,,,,
,CONKEN 4 TRUCKS,,,,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
4,T671 ECQ,T588 ECC,KONKOLA-ZMB,ENROUTE KOLWEZI,FLATBED,NA,24,30-Dec,23-Jan,,,
,,,,,,,,,,,,
,RELOAD 63MT DSM-KOLWEZI,,,TCC,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
1,T123 DZY,T887 DZC,KONKOLA-ZMB,ENROUTE KOLWEZI,FLATBED,NA,24,30-Dec,23-Jan,,,
2,T634 EAF,T904 DZS,KONKOLA-ZMB,ENROUTE KOLWEZI,FLATBED,NA,NA,NA,23-Jan,,,
,,,,,,,,,,,,
,BRIDGE 1290 MOMBASA-KOLWEZI,,,,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
1,T536 DRF,T477 DQU,MUTANDA-DRC,WAITING TO OFFLOAD,FLATBED,NA,33,21-Dec,23-Jan,,,
2,T760 DNH,T464 DNH,LIKASI-DRC,ENROUTE MUTANDA,FLATBED,NA,31,23-Dec,23-Jan,,,
